0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:25 +0700] "GET /inventory-management/role/list/1 HTTP/1.1" 200 17441
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:25 +0700] "GET /inventory-management/role/list/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:27 +0700] "GET /inventory-management/menu/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:27 +0700] "GET /inventory-management/menu/list/1 HTTP/1.1" 200 42866
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:27 +0700] "GET /inventory-management/menu/list/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:42 +0700] "GET /inventory-management/menu/change-status/8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:42 +0700] "GET /inventory-management/menu/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:42 +0700] "GET /inventory-management/menu/list/1 HTTP/1.1" 200 42890
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:42 +0700] "GET /inventory-management/menu/list/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:45 +0700] "GET /inventory-management/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:45 +0700] "GET /inventory-management/login HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:49 +0700] "POST /inventory-management/processLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:49 +0700] "GET /inventory-management/index HTTP/1.1" 200 10600
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:49 +0700] "GET /inventory-management/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:52 +0700] "GET /inventory-management/category/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:52 +0700] "GET /inventory-management/category/list/1 HTTP/1.1" 200 17773
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:52 +0700] "GET /inventory-management/category/list/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:53 +0700] "GET /inventory-management/category/add HTTP/1.1" 200 11307
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:53 +0700] "GET /inventory-management/category/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:58 +0700] "GET /inventory-management/menu/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:58 +0700] "GET /inventory-management/menu/list/1 HTTP/1.1" 200 42866
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:34:58 +0700] "GET /inventory-management/menu/list/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:01 +0700] "GET /inventory-management/category/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:01 +0700] "GET /inventory-management/category/list/1 HTTP/1.1" 200 17773
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:01 +0700] "GET /inventory-management/category/list/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:02 +0700] "GET /inventory-management/category/add HTTP/1.1" 200 11307
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:02 +0700] "GET /inventory-management/category/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:06 +0700] "GET /inventory-management/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:06 +0700] "GET /inventory-management/login HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:13 +0700] "POST /inventory-management/processLogin HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:16 +0700] "POST /inventory-management/processLogin HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:19 +0700] "POST /inventory-management/processLogin HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:23 +0700] "POST /inventory-management/processLogin HTTP/1.1" 302 -
